ID Predial,Predio,Plano,Comp,Relacion,Inc01,Inc02,Inc03,Inc04,Inc05,Inc06,Inc07,Inc08,Inc09,Inc10,Inc11,Mod1,Mod2,Mod3,Mod4,Mod5,Mod6,Mod7,Mod9,X,Y,Shape_Length,Shape_Area
30304005720900,00018,300149032023,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,502034.4693,1095407.381,63.72424775,244.0762418
30302008340300,00013,300372881977,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,500122.6384,1094287.421,78.15086119,236.1445528
30301016844300,00060,300243921992,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500783.2652,1095500.339,81.85467727,339.9534409
30303011696000,00032,307570681988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498345.3142,1095015.853,41.99997043,89.99984224
30304009150700,00002,303879621980,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502693.124,1096440.462,48.08005463,139.9234852
303040072631B0,00003,300092771971,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502567.8623,1096292.022,120.3132774,797.6415125
30301019033600,00007,308307412002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501651.2126,1095747.216,60.35741872,177.8488565
30301009801600,00089,304382331981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500617.4203,1095566.238,41.56109029,103.8273408
30304018999300,00020,308248752002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502587.3411,1095402.821,60.00008947,199.988677
30302014689900,00014,302228451994,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500192.2154,1093915.604,54.80038611,138.5145534
30304019530900,00009,308836072003,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503146.3957,1094779.213,55.5641314,144.3546773
30306025690100,00045,319104632016,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502348.739,1097579.822,67.09791057,222.7911447
30303011697900,00013,307574641988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498364.9712,1094995.489,41.99982752,89.99930719
30304014043900,00022,301345451993,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502546.7745,1095773.735,97.99996793,490.030296
303010072655C0,00008,303402481996,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501553.0078,1095193.381,46.51976382,134.2063172
30301010488500,00069,302804261977,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501710.3432,1095860.338,79.30895972,196.3944248
30308020744500,00015,311245332006,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495642.0673,1094169.094,53.04789856,124.9838789
30302014014500,00006,309181031990,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499464.3743,1094653.448,50.22167897,127.0872007
30301002651300,00004,307183942001,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501379.055,1095518.717,52.38512786,95.14733213
30304021399900,00744,311320732007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502430.9987,1094900.125,9.100030572,4.225029576
30301007209800,00001,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501365.1108,1095224.074,168.0171205,1630.132314
30303011697400,00018,307570821988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498394.0768,1094988.229,41.99671783,89.98091328
30301021028300,00019,309304532004,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501522.1921,1095617.412,80.15040231,278.145708
30302008161100,00019,300078951976,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499245.7174,1094825.192,58.83041146,185.1502061
3030100032500M,00115, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501177.4759,1096050.154,83.59703298,437.715417
30304021400600,00751,311383732007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502427.868,1094908.669,9.099902221,4.224912859
30302009707000,00015,304208761981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498970.2766,1095344.854,46.01197056,120.6289427
30305021658100,00099,309858842005,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500525.5882,1097136.87,51.15674936,155.3664159
30302016926700,00008,304554971997,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500138.7052,1094370.547,51.89805775,119.8899135
30304017793600,00015,306091952000,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502183.3524,1095045.631,100.0564881,396.0490787
30303011609200,00031,307392031988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498439.3967,1095234.644,43.49841258,94.48710875
30307H00001200,, , , , , , , , , , , , , , , , , , , , , , ,500265.8891,1098424.662,69.64832779,99.20591532
30304018997200,00001,308251302002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502531.2239,1095410.195,71.06216265,303.2852689
30302007070500,00009, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500670.3191,1093944.77,212.4412329,670.5901419
30303011616500,00021,307476871988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498519.1629,1095103.965,48.04328668,108.1303177
30302012638200,00028,302368621995,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500046.471,1094339.015,43.65898198,104.3411889
30302013081500,00028,300067921991,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500134.6422,1094207.054,48.29095898,119.9782479
30302018503000,00029,309907691991,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500069.008,1094333.393,45.44194232,112.693656
30302009671500,00020,304132561980,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499051.6761,1095457.86,56.26005018,199.686659
30304P00049300,00031,306011881999,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502039.7483,1095052.888,59.14357753,190.2890969
30303011615100,00007,307477101988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498437.7941,1095124.825,48.00545805,108.0141018
30301P00054800,00015,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500914.2533,1095249.902,154.060946,1115.054636
30302020483400,00003,310277792005,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499276.7359,1094479.752,60.88960932,209.6440867
30302010208700,00022,304232811981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499060.8204,1095196.877,45.99997525,119.9997511
30302009968800,00009,304208921981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499105.2857,1095337.246,55.99982939,159.9981015
30304021382700,00580,311362342007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502421.9939,1094877.468,9.099902221,4.224912858
30302017178200,00015,305415201999,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499657.8962,1094876.806,62.19997337,184.8119949
30303011612600,00034,307392501988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498373.7848,1095145.863,45.23906811,99.70060554
30301005720500,00019,302825151977,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501210.4864,1095702.635,80.72996464,289.917637
30304021327400,00087,311480892007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502360.1804,1094878.46,9.099914978,4.224914648
30301004663100,00022,312582922008,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501306.7157,1095733.649,69.70460404,256.0987199
30304013428900,00001,308146891989,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502848.6803,1094434.907,64.08795061,203.3070893
30304021523000,0032*,311397192007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502636.6705,1095411.505,72.0044255,320.0005904
30308013103300,00002,309556751991,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,496639.6733,1093186.526,53.36151165,176.6151798
30304021381200,00565,311341352007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502412.232,1094894.664,9.099970943,4.224899277
30303016728700,00001,304895501998,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,498170.9735,1095195.373,58.1864691,193.4839267
30305016518500,00010,308426131989,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501219.01,1097696.383,55.42431323,177.4883896
30301009538400,00016,303856901980,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501874.4465,1095635.619,79.28566904,378.0234389
30306006391800,00002,309031701990,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502149.9291,1097063.561,84.71791964,364.689775
30304020160000,00012,310227692005,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502600.2777,1095323.583,59.56545066,211.0495492
30304003972200,00001,315210762011,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502239.1205,1095798.179,188.0941428,1006.851877
30301010528400,00067,300124951974,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500720.325,1095366.317,149.217145,573.9874265
30304021526700,00025,311397182007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502639.0158,1095396.183,70.00031358,299.9851288
30303011265200,00007,305041491983,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498737.6268,1095921.822,113.8818258,725.6610735
